net,length_um
_0054_,10.385
mem\[2\]\[4\],10.375
_0414_,10.34
_0448_,10.28
_0223_,10.22
net143,10.18
mem\[12\]\[2\],10.165
mem\[5\]\[7\],10.08
net124,10
mem\[11\]\[1\],9.98
mem\[13\]\[4\],9.96
mem\[5\]\[0\],9.96
net46,9.94
_0038_,9.925
_0361_,9.92
_0198_,9.88
_0351_,9.88
_0045_,9.865
_0194_,9.86
_0218_,9.86
_0232_,9.86
net40,9.86
_0393_,9.8
_0190_,9.78
_0245_,9.66
mem\[2\]\[1\],9.62
mem\[7\]\[6\],9.58
_0225_,9.52
net176,9.52
mem\[15\]\[4\],9.5
_0251_,9.48
_0229_,9.44
_0060_,9.385
mem\[6\]\[4\],9.36
mem\[9\]\[6\],9.32
net37,9.24
_0314_,9.16
net21,9.08
_0241_,9.06
_0349_,9.04
mem\[12\]\[4\],9.04
_0429_,9.02
net74,8.9
din[3],8.84
din[6],8.84
din[7],8.84
_0348_,8.82
mem\[10\]\[2\],8.82
net128,8.82
net106,8.8
mem\[0\]\[3\],8.78
net133,8.74
mem\[1\]\[0\],8.7
mem\[8\]\[5\],8.7
_0242_,8.66
_0088_,8.605
_0315_,8.6
_0318_,8.6
_0216_,8.56
_0134_,8.525
_0118_,8.48
_0212_,8.48
net136,8.48
net114,8.44
_0015_,8.28
_0383_,8.28
_0142_,8.24
mem\[2\]\[7\],8.24
_0140_,8.225
mem\[6\]\[2\],8.22
_0177_,8.16
mem\[0\]\[6\],8.12
_0065_,8.025
_0342_,8.02
net127,8.02
_0426_,7.98
_0387_,7.96
net62,7.92
net159,7.92
_0253_,7.88
_0319_,7.88
net168,7.84
mem\[15\]\[0\],7.785
mem\[8\]\[2\],7.74
_0294_,7.72
_0003_,7.68
_0386_,7.66
mem\[0\]\[5\],7.64
net89,7.56
_0289_,7.52
_0380_,7.44
mem\[3\]\[5\],7.44
net126,7.44
net171,7.44
net111,7.42
mem\[0\]\[0\],7.4
net63,7.34
mem\[14\]\[1\],7.32
mem\[11\]\[6\],7.3
_0347_,7.22
_0403_,7.18
_0274_,7.14
mem\[15\]\[2\],7.14
dout[6],7.11
_0235_,7.1
net141,7.1
_0195_,7.06
net38,7
net118,7
mem\[0\]\[2\],6.98
mem\[2\]\[6\],6.88
mem\[9\]\[3\],6.86
net116,6.78
din[5],6.77
rd_en,6.77
_0012_,6.76
_0192_,6.76
_0248_,6.76
_0377_,6.76
_0395_,6.76
_0444_,6.76
net163,6.74
_0433_,6.72
_0234_,6.66
mem\[9\]\[0\],6.66
_0285_,6.64
_0352_,6.64
_0353_,6.6
_0401_,6.6
_0411_,6.6
net39,6.54
net152,6.54
net169,6.42
mem\[11\]\[2\],6.4
mem\[12\]\[3\],6.4
_0016_,6.38
reset_n,6.31
_0358_,6.3
_0394_,6.3
mem\[0\]\[4\],6.28
_0389_,6.26
_0440_,6.26
_0446_,6.2
net10,6.2
_0278_,6.18
_0316_,6.18
_0322_,6.18
_0331_,6.18
_0337_,6.18
_0344_,6.18
_0384_,6.18
_0408_,6.18
_0409_,6.18
_0450_,6.18
_0063_,6.155
_0304_,6.14
mem\[12\]\[6\],6.14
net172,6.14
din[0],6.09
net147,6.08
net167,6.08
_0148_,6.065
_0014_,6.06
_0422_,6.06
net173,6.02
_0093_,6.005
net49,5.98
_0055_,5.965
mem\[2\]\[2\],5.94
mem\[4\]\[1\],5.94
mem\[5\]\[4\],5.94
_0004_,5.92
mem\[3\]\[7\],5.9
_0263_,5.86
_0376_,5.84
_0400_,5.84
_0430_,5.84
mem\[4\]\[3\],5.84
net47,5.8
_0116_,5.765
empty,5.75
_0076_,5.725
_0035_,5.705
_0239_,5.68
net109,5.62
net95,5.6
_0097_,5.58
_0280_,5.58
_0059_,5.435
_0219_,5.38
_0286_,5.38
_0341_,5.38
_0363_,5.38
_0382_,5.38
_0398_,5.38
_0085_,5.345
_0431_,5.34
_0070_,5.305
din[2],5.29
mem\[7\]\[5\],5.285
_0435_,5.28
_0252_,5.26
_0354_,5.26
_0373_,5.26
net70,5.26
net145,5.26
_0200_,5.22
_0323_,5.22
_0449_,5.22
net139,5.12
din[4],5.07
dout[1],5.07
dout[7],5.07
full,5.07
_0023_,5.065
net90,5.06
_0066_,5.045
_0105_,5.045
_0182_,4.94
_0123_,4.925
_0017_,4.92
_0019_,4.92
_0334_,4.92
_0345_,4.92
_0367_,4.92
mem\[2\]\[3\],4.895
_0143_,4.885
_0221_,4.88
_0357_,4.88
_0374_,4.88
_0392_,4.88
_0419_,4.88
_0028_,4.875
_0051_,4.845
_0114_,4.845
_0125_,4.845
_0137_,4.845
_0144_,4.845
_0368_,4.82
_0417_,4.82
mem\[6\]\[5\],4.82
_0313_,4.8
_0439_,4.8
net52,4.8
net75,4.8
net174,4.8
net175,4.8
_0265_,4.76
_0370_,4.76
_0420_,4.76
_0441_,4.76
net119,4.76
dout[2],4.73
dout[5],4.73
net79,4.7
net148,4.7
mem\[7\]\[0\],4.685
_0302_,4.68
net142,4.68
net48,4.66
net108,4.66
_0034_,4.635
wr_en,4.61
net81,4.6
_0284_,4.46
net149,4.46
_0390_,4.42
net45,4.42
dout[0],4.39
dout[3],4.39
dout[4],4.39
_0030_,4.385
_0001_,4.34
_0183_,4.34
_0356_,4.34
_0362_,4.34
net83,4.34
net98,4.34
net137,4.34
net157,4.34
_0058_,4.265
net107,4.24
net166,4.24
_0193_,4.2
_0081_,4.165
_0273_,4
_0308_,4
_0267_,3.98
_0061_,3.965
_0095_,3.965
din[1],3.93
_0170_,3.88
_0312_,3.88
_0321_,3.88
mem\[13\]\[6\],3.88
net164,3.88
_0113_,3.78
_0117_,3.78
net73,3.78
net88,3.78
net121,3.78
net138,3.78
net68,3.76
net104,3.74
_0135_,3.685
net72,3.68
net99,3.56
_0333_,3.54
_0381_,3.54
_0432_,3.54
_0451_,3.54
_0074_,3.505
_0126_,3.505
_0041_,3.465
_0122_,3.465
_0385_,3.44
_0405_,3.44
_0436_,3.44
_0111_,3.405
_0128_,3.405
_0033_,3.345
_0112_,3.345
_0133_,3.345
net64,3.32
net117,3.32
net123,3.32
net140,3.32
net165,3.32
net54,3.3
net58,3.3
_0050_,3.245
_0053_,3.245
_0101_,3.245
_0121_,3.245
_0127_,3.245
_0042_,3.225
_0025_,3.175
_0089_,3.175
_0090_,3.175
_0107_,3.175
_0136_,3.175
_0072_,3.125
_0275_,3.1
_0230_,3.08
_0276_,3.08
_0330_,3.08
_0355_,3.08
_0036_,3.045
_0052_,3.005
_0104_,3.005
_0110_,3.005
_0147_,3.005
_0080_,2.98
_0300_,2.98
_0325_,2.98
_0346_,2.98
_0421_,2.98
_0372_,2.96
net103,2.96
_0039_,2.885
_0044_,2.885
_0108_,2.885
_0115_,2.885
_0139_,2.885
_0029_,2.88
_0079_,2.88
_0109_,2.86
_0145_,2.86
net41,2.86
net120,2.86
net134,2.86
_0067_,2.785
_0068_,2.785
net55,2.76
net61,2.76
net84,2.76
net131,2.76
net170,2.76
_0018_,2.74
_0062_,2.715
_0056_,2.705
_0129_,2.665
_0188_,2.62
_0328_,2.62
_0375_,2.62
_0442_,2.62
_0447_,2.62
net125,2.62
net130,2.62
_0047_,2.545
_0078_,2.545
_0120_,2.545
_0146_,2.545
_0011_,2.52
_0026_,2.52
_0364_,2.52
_0402_,2.52
_0428_,2.52
_0214_,2.5
_0281_,2.5
_0298_,2.5
_0317_,2.5
net43,2.5
_0032_,2.485
_0037_,2.485
_0046_,2.485
_0048_,2.485
_0043_,2.425
_0021_,2.42
_0083_,2.42
net69,2.4
_0040_,2.375
_0069_,2.325
_0073_,2.325
_0092_,2.325
_0096_,2.325
net50,2.3
net51,2.3
net53,2.3
net56,2.3
net59,2.3
net60,2.3
net65,2.3
net66,2.3
net67,2.3
net76,2.3
net77,2.3
net80,2.3
net85,2.3
net86,2.3
net87,2.3
net91,2.3
net92,2.3
net93,2.3
net96,2.3
net100,2.3
net101,2.3
net112,2.3
net115,2.3
net132,2.3
net135,2.3
net144,2.3
net151,2.3
net155,2.3
net160,2.3
_0002_,2.18
_0160_,2.16
_0283_,2.16
_0291_,2.16
_0437_,2.16
_0064_,2.125
_0077_,2.085
_0306_,2.06
_0366_,2.06
_0371_,2.06
_0412_,2.06
_0418_,2.06
_0427_,2.06
_0445_,2.04
net97,2.04
_0022_,2.025
_0024_,2.025
_0027_,2.025
_0049_,2.025
_0057_,2.025
_0071_,2.025
_0075_,2.025
_0086_,2.025
_0087_,2.025
_0098_,2.025
_0102_,2.025
_0103_,2.025
_0131_,2.025
_0290_,1.94
net57,1.94
net154,1.94
_0094_,1.915
_0119_,1.915
_0031_,1.865
_0091_,1.865
_0100_,1.865
_0132_,1.865
_0270_,1.84
net94,1.84
net102,1.84
net105,1.84
net110,1.84
net113,1.84
net122,1.84
net150,1.84
net156,1.84
net162,1.84
_0005_,1.82
net42,1.82
_0099_,1.745
_0006_,1.7
_0008_,1.7
_0211_,1.7
_0296_,1.7
_0310_,1.6
_0335_,1.6
_0396_,1.6
_0138_,1.575
net71,1.48
net129,1.48
net146,1.48
_0084_,1.405
_0106_,1.405
_0124_,1.405
_0130_,1.405
_0141_,1.405
_0262_,1.38
_0288_,1.38
net177,1.38
_0000_,1.36
_0009_,1.36
_0324_,1.14
_0326_,1.14
_0327_,1.14
_0332_,1.14
_0365_,1.14
_0404_,1.14
_0407_,1.14
_0410_,1.14
_0413_,1.14
_0424_,1.14
_0438_,1.14
_0203_,1.02
net78,1.02
net82,1.02
net158,1.02
net161,1.02
_0007_,0.46
